unnamed:_0,filing_date,trade_date,ticker,insider_name,insider_title,trade_type,price,qty,owned,δown%,value,trade_price,trade_value,delta_own_pct,trade_date_ddmmyyyy,filing_date_ddmmyyyy,calc_value,value_abs_diff
,2026-02-19 17:36:59,2026-02-19,JPM,Leopold Robin,Head of HR,S,$307.14,-432.0,83755.0,-0.01,"-$132,684",307.14,-132684.0,-0.0001,19/02/2026,19/02/2026,-132684.47999999998,0.47999999998137355
,2026-02-19 17:33:57,2026-02-19,JPM,Rohrbaugh Troy L,Co-CEO CIB,S,$307.11,-50000.0,111371.0,-0.31,"-$15,355,670",307.11,-15355670.0,-0.0031,19/02/2026,19/02/2026,-15355500.0,170.0
,2026-02-19 17:19:53,2026-02-19,JPM,Dimon James,"COB, CEO",S,$307.19,-69512.0,6275645.0,-0.01,"-$21,353,561",307.19,-21353561.0,-0.0001,19/02/2026,19/02/2026,-21353391.28,169.7199999988079
,2026-02-17 17:21:20,2026-02-17,JPM,Petno Douglas B,Co-CEO CIB,S,$306.40,-3487.0,435285.0,-0.01,"-$1,068,429",306.4,-1068429.0,-0.0001,17/02/2026,17/02/2026,-1068416.7999999998,12.200000000186265
,2026-02-17 17:21:19,2026-02-17,JPM,Erdoes Mary E.,"CEO Asset, Wealth Management",S,$306.41,-5731.0,613405.0,-0.01,"-$1,756,046",306.41,-1756046.0,-0.0001,17/02/2026,17/02/2026,-1756035.7100000002,10.289999999804422
,2026-02-17 17:21:18,2026-02-17,JPM,Beer Lori A,CIO,S,$306.40,-2047.0,60452.0,-0.03,"-$627,207",306.4,-627207.0,-0.0003,17/02/2026,17/02/2026,-627200.7999999999,6.200000000069849
,2026-02-17 17:21:16,2026-02-17,JPM,Barnum Jeremy,CFO,S,$306.42,-2892.0,23804.0,-0.11,"-$886,157",306.42,-886157.0,-0.0011,17/02/2026,17/02/2026,-886166.64,9.64000000001397
,2026-02-17 17:21:15,2026-02-17,JPM,Lake Marianne,CEO CCB,S,$306.41,-3907.0,249587.0,-0.02,"-$1,197,158",306.41,-1197158.0,-0.0002,17/02/2026,17/02/2026,-1197143.87,14.129999999888241
,2026-02-17 17:21:12,2026-02-17,JPM,Friedman Stacey,GC,S,$306.40,-3404.0,125689.0,-0.03,"-$1,042,985",306.4,-1042985.0,-0.0003,17/02/2026,17/02/2026,-1042985.6,0.5999999999767169
,2026-02-04 16:18:21,2026-02-03,JPM,Leopold Robin,Head of HR,G,$0.00,264.0,84187.0,0,+$0,0.0,0.0,0.0,03/02/2026,04/02/2026,0.0,0.0
,2026-01-22 17:03:43,2026-01-20,JPM,Buck Michele,Dir,A,$306.51,914.0,919.0,>999%,"+$280,000",306.51,280000.0,,20/01/2026,22/01/2026,280150.14,150.14000000001397
,2026-01-22 16:21:23,2026-01-20,JPM,Weinberger Mark A,Dir,A,$306.51,914.0,4111.0,0.29,"+$280,000",306.51,280000.0,0.0029,20/01/2026,22/01/2026,280150.14,150.14000000001397
,2026-01-22 16:21:22,2026-01-20,JPM,Novakovic Phebe N,Dir,A,$306.51,914.0,13304.0,0.07,"+$280,000",306.51,280000.0,0.0007000000000000001,20/01/2026,22/01/2026,280150.14,150.14000000001397
,2026-01-22 16:21:20,2026-01-20,JPM,Rometty Virginia M,Dir,A,$306.51,914.0,14700.0,0.07,"+$280,000",306.51,280000.0,0.0007000000000000001,20/01/2026,22/01/2026,280150.14,150.14000000001397
,2026-01-22 16:21:19,2026-01-20,JPM,Smith Brad D,Dir,A,$306.51,914.0,11845.0,0.08,"+$280,000",306.51,280000.0,0.0008,20/01/2026,22/01/2026,280150.14,150.14000000001397
,2026-01-22 16:21:17,2026-01-20,JPM,Gorsky Alex,Dir,A,$306.51,914.0,7294.0,0.14,"+$280,000",306.51,280000.0,0.0014000000000000002,20/01/2026,22/01/2026,280150.14,150.14000000001397
