date,price,open,high,low,vol.,change_%,volume,date_ddmmyyyy,ret_close,ret_reported
2015-01-02,62.49,62.62,62.96,62.07,12.60M,-0.0014,12600000.0,02/01/2015,,-0.0014
2015-01-05,60.55,62.06,62.28,60.23,20.10M,-0.031,20100000.0,05/01/2015,-0.03104496719475125,-0.031
2015-01-06,58.98,60.64,60.75,58.35,29.07M,-0.0259,29070000.0,06/01/2015,-0.02592898431048718,-0.0259
2015-01-07,59.07,59.89,59.89,58.66,23.84M,0.0015,23840000.0,07/01/2015,0.0015259409969481386,0.0015
2015-01-08,60.39,59.97,60.9,59.97,16.97M,0.0223,16970000.0,08/01/2015,0.022346368715083775,0.0223
2015-01-09,59.34,60.72,60.79,59.29,15.40M,-0.0174,15400000.0,09/01/2015,-0.017386984600099353,-0.0174
2015-01-12,58.83,59.28,59.4,58.27,15.46M,-0.0086,15460000.0,12/01/2015,-0.00859453993933279,-0.0086
2015-01-13,58.84,59.26,59.7,58.37,21.64M,0.0002,21640000.0,13/01/2015,0.00016998130205680972,0.0002
2015-01-14,56.81,56.91,57.0,55.27,49.60M,-0.0345,49600000.0,14/01/2015,-0.034500339904826705,-0.0345
2015-01-15,54.99,55.73,56.61,54.5,42.46M,-0.032,42460000.0,15/01/2015,-0.03203661327231122,-0.032
2015-01-16,55.93,54.66,56.0,54.64,29.37M,0.0171,29370000.0,16/01/2015,0.017094017094017033,0.0171
2015-01-20,55.71,56.04,56.39,55.42,23.48M,-0.0039,23480000.0,20/01/2015,-0.003933488288932585,-0.0039
2015-01-21,55.89,55.45,56.42,55.19,21.84M,0.0032,21840000.0,21/01/2015,0.003231017770597644,0.0032
2015-01-22,57.59,56.38,57.73,55.95,31.42M,0.0304,31420000.0,22/01/2015,0.03041689032027195,0.0304
2015-01-23,56.68,57.72,57.87,56.66,15.46M,-0.0158,15460000.0,23/01/2015,-0.015801354401805967,-0.0158
2015-01-26,56.77,56.41,56.99,56.2,12.58M,0.0016,12580000.0,26/01/2015,0.001587861679604785,0.0016
